Age (kyr BP)	Hematite/(Hematite+Goethite)
52.322	0.838
52.384	0.750
52.445	0.650
52.506	0.723
52.568	0.593
52.629	0.705
52.690	0.678
52.752	0.731
52.813	0.768
52.874	0.666
52.936	0.459
52.998	0.334
53.061	0.350
53.123	0.378
53.185	0.349
53.247	0.416
53.310	0.384
53.372	0.407
53.434	0.596
53.497	0.630
53.559	0.559
53.621	0.455
53.683	0.452
53.745	0.574
53.807	0.495
53.869	0.604
53.931	0.618
53.993	0.557
54.055	0.685
54.116	0.653
54.177	0.612
54.238	0.606
54.299	0.561
54.360	0.598
54.421	0.605
54.482	0.755
54.543	0.522
54.604	0.507
54.665	0.567
54.739	0.514
54.814	0.511
54.889	0.440
54.964	0.490
55.039	0.537
55.113	0.484
55.188	0.684
55.263	0.626
55.338	0.575
55.417	0.648
55.501	0.638
55.585	0.677
55.669	0.698
55.753	0.746
55.837	0.631
55.920	0.656
56.004	0.736
56.093	0.703
56.180	0.793
56.268	0.879
56.356	0.775
56.444	0.841
56.532	0.878
56.620	0.829
56.708	0.882
56.796	0.761
56.884	0.765
56.972	0.772
57.063	0.862
57.154	0.843
57.246	0.631
57.337	0.688
57.429	0.568
57.520	0.556
57.612	0.727
57.703	0.656
57.794	0.667
57.885	0.635
57.976	0.615
58.066	0.585
58.157	0.450
58.247	0.461
58.338	0.426
58.428	0.505
58.519	0.457
58.609	0.572
58.701	0.555
58.792	0.581
58.883	0.531
58.975	0.666
59.066	0.722
59.157	0.617
59.249	0.570
59.340	0.638
59.432	0.603
59.522	0.703
59.613	0.766
59.704	0.713
59.795	0.622
59.886	0.654
59.977	0.651
60.067	0.712
60.158	0.705
60.249	0.420
60.339	0.519
60.428	0.535
60.518	0.563
60.607	0.516
60.697	0.625
60.786	0.760
60.875	0.590
60.965	0.653
61.054	0.712
61.144	0.615
61.234	0.611
61.323	0.635
61.413	0.571
61.503	0.588
61.593	0.678
61.682	0.715
61.772	0.671
61.862	0.606
61.951	0.696
62.041	0.378
62.131	0.554
62.221	0.597
62.314	0.423
62.408	0.492
62.502	0.419
62.596	0.496
62.690	0.542
62.783	0.616
62.876	0.691
62.969	0.551
63.063	0.599
63.156	0.634
63.249	0.514
63.342	0.565
63.436	0.598
63.529	0.603
63.626	0.582
63.722	0.697
63.819	0.742
63.915	0.569
64.012	0.623
64.108	0.694
64.205	0.709
64.301	0.556
64.396	0.644
64.490	0.610
64.584	0.696
64.677	0.606
64.771	0.704
64.865	0.756
64.958	0.546
65.052	0.647
65.146	0.564
65.247	0.628
65.351	0.684
65.455	0.596
65.559	0.568
65.663	0.474
65.766	0.578
65.870	0.411
65.974	0.448
66.080	0.322
66.203	0.308
66.326	0.438
66.448	0.394
66.571	0.360
66.694	0.335
66.816	0.274
66.939	0.225
67.062	0.263
67.182	0.595
67.300	0.372
67.418	0.383
67.536	0.325
67.654	0.385
67.773	0.434
67.891	0.317
68.009	0.396
68.127	0.425
68.247	0.385
68.368	0.609
68.488	0.460
68.609	0.464
68.729	0.365
68.850	0.364
68.971	0.377
69.091	0.426
69.226	0.388
69.362	0.403
69.499	0.412
69.635	0.429
69.772	0.401
69.908	0.382
70.045	0.401
70.182	0.457
70.314	0.502
70.442	0.428
70.569	0.443
70.696	0.317
70.824	0.352
70.951	0.467
71.078	0.400
71.206	0.415
71.332	0.455
71.457	0.542
71.582	0.474
71.708	0.604
71.833	0.298
71.959	0.270
72.084	0.510
72.209	0.451
72.339	0.562
72.469	0.397
72.599	0.497
72.730	0.381
72.860	0.426
72.990	0.305
73.121	0.605
73.251	0.569
73.378	0.465
73.505	0.329
73.632	0.453
73.760	0.510
73.887	0.483
74.014	0.526
74.141	0.582
74.268	0.472
74.396	0.518
74.524	0.450
74.652	0.322
74.780	0.361
74.908	0.313
75.036	0.335
75.163	0.403
75.290	0.755
75.412	0.710
75.535	0.736
75.658	0.578
75.781	0.612
75.904	0.538
76.027	0.663
76.150	0.424
76.275	0.365
76.403	0.399
76.569	0.420
76.735	0.390
76.901	0.421
77.067	0.392
77.233	0.394
77.395	0.511
77.557	0.501
77.719	0.504
77.881	0.559
78.043	0.698
78.206	0.666
78.371	0.595
78.537	0.686
78.703	0.708
78.868	0.552
79.034	0.716
79.199	0.642
79.364	0.485
79.529	0.624
79.694	0.807
79.859	0.694
80.024	0.695
80.190	0.648
80.357	0.631
80.524	0.462
80.692	0.499
80.859	0.622
81.026	0.586
81.194	0.536
81.363	0.498
81.531	0.347
81.700	0.486
81.869	0.411
82.037	0.539
82.204	0.653
82.365	0.867
82.527	0.768
82.688	0.645
82.849	0.780
83.010	0.659
83.175	0.358
83.348	0.562
83.522	0.680
83.695	0.678
83.828	0.785
83.961	0.739
84.094	0.635
84.224	0.757
84.351	0.663
84.479	0.744
84.607	0.682
84.734	0.671
84.862	0.758
84.989	0.650
85.117	0.764
85.242	0.773
85.367	0.754
85.492	0.783
85.616	0.705
85.741	0.568
85.865	0.755
85.990	0.441
86.114	0.561
86.243	0.668
86.373	0.743
86.503	0.753
86.632	0.775
86.762	0.861
86.892	0.767
87.022	0.759
87.151	0.817
87.284	0.780
87.417	0.421
87.550	0.582
87.682	0.628
87.815	0.633
87.948	0.895
88.081	0.557
88.213	0.573
88.342	0.393
88.472	0.489
88.602	0.476
88.732	0.417
88.861	0.490
89.093	0.467
89.194	0.493
89.296	0.415
89.399	0.591
89.501	0.603
89.603	0.520
89.706	0.428
89.808	0.216
90.013	0.278
90.115	0.378
90.217	0.847
90.319	0.623
90.421	0.402
90.523	0.473
90.625	0.356
90.727	0.626
