Age (kyr BP)	stack-	stack	stack+
17.915	-0.390943119	0.291010821	0.97296476
18.015	-0.3298069	-0.04962423	0.23055844
18.115	-0.799448382	-0.140181343	0.519085696
18.215	-0.117394271	0.293062518	0.703519306
18.315	0.639127919	0.719067462	0.799007006
18.415	-0.108910582	0.695503815	1.499918212
18.515	-0.130403262	0.327522897	0.785449055
18.615	-0.316197969	0.642666711	1.601531392
18.715	-0.076105686	0.860587736	1.797281158
18.815	-0.38775193	0.258039423	0.903830776
18.915	-0.341962383	0.114836762	0.571635907
19.015	0.235358607	0.29198229	0.348605973
19.115	-0.854845131	-0.270420601	0.31400393
19.215	-1.019144716	-0.550510653	-0.081876589
19.315	-0.687857637	-0.072240605	0.543376427
19.415	-0.529165773	0.227050081	0.983265935
19.515	-0.28222844	-0.142052516	-0.001876592
19.615	-0.593650182	-0.428995759	-0.264341336
19.715	-1.171030027	-0.937010825	-0.702991623
19.815	-0.756115586	-0.704920942	-0.653726299
19.915	-0.717283792	-0.305374796	0.106534199
20.015	-0.828255947	-0.334395754	0.159464438
20.115	-0.73669785	-0.044914287	0.646869276
20.215	-2.113701527	-1.228312472	-0.342923416
20.315	-0.689117013	-0.02564217	0.637832673
20.415	-0.70268126	0.273246351	1.249173961
20.515	-1.113076226	-0.241480254	0.630115718
20.615	-0.727975645	0.061289283	0.850554211
20.715	-0.745202777	-0.353158051	0.038886675
20.815	-0.755705963	-0.728767118	-0.701828273
20.915	-0.71468796	-0.654089415	-0.59349087
21.015	-0.536099434	-0.49617076	-0.456242086
21.115	-0.487507489	-0.470094989	-0.45268249
21.215	0.063005082	0.399489845	0.735974608
21.315	-1.150401102	-1.06813835	-0.985875598
21.415	-1.479255296	-0.432744155	0.613766985
21.515	-1.054773775	-0.92404092	-0.793308066
21.615	-0.975633772	-0.549288588	-0.122943404
21.715	-0.230350835	0.051910006	0.334170847
21.815	-0.666652349	-0.617280188	-0.567908026
21.915	-1.270860507	-1.226747079	-1.182633652
22.015	-1.331977251	-0.951394937	-0.570812623
22.115	-0.628857641	-0.054187794	0.520482053
22.215	-0.512202242	-0.248972588	0.014257067
22.315	-0.295243311	-0.114272884	0.066697542
22.415	-0.719515259	-0.370759682	-0.022004106
22.515	-0.848151689	-0.060268794	0.727614102
22.615	-0.53689542	-0.19323962	0.150416179
22.715	-0.395313234	0.26854159	0.932396414
22.815	-0.943702546	-0.740335499	-0.536968453
22.915	-0.879414874	-0.775488713	-0.671562552
23.015	-0.721307216	-0.640028491	-0.558749766
23.115	-1.00232567	-0.774857692	-0.547389714
23.215	-0.315435999	-0.228231722	-0.141027444
23.315	-0.270754062	-0.014446716	0.241860629
23.415	-0.7105049	-0.480762707	-0.251020514
23.515	-0.613794782	-0.596374563	-0.578954344
23.615	-0.734048957	-0.467452953	-0.200856949
23.715	-0.7460423	-0.662566629	-0.579090957
23.815	-1.371057389	-1.000373995	-0.629690602
23.915	-1.87656056	-1.134510287	-0.392460014
24.015	-1.902045729	-0.98239378	-0.062741832
24.115	-1.755314282	-0.879674157	-0.004034033
24.215	-1.61992081	-0.806622306	0.006676198
24.315	-1.798746405	-1.035204808	-0.271663212
24.415	-1.5048899	-0.865433713	-0.225977526
24.515	-1.522155339	-0.866028434	-0.209901529
24.615	-0.365925678	-0.206030129	-0.04613458
24.715	-0.270979775	-0.126326231	0.018327313
24.815	-0.637712899	-0.49815185	-0.3585908
24.915	0.052256604	0.07541863	0.098580655
25.015	0.398023914	0.412542113	0.427060313
25.115	0.569884249	0.741181585	0.912478921
25.215	-0.078548278	0.379881927	0.838312133
25.315	0.595766514	0.72189829	0.848030066
25.415	0.168237191	0.719568783	1.270900375
25.515	0.395797562	0.739761885	1.083726209
25.615	-0.075894422	0.094836142	0.265566705
25.715	0.900650999	1.106785824	1.312920648
25.815	0.69578755	0.890719144	1.085650738
25.915	0.822629069	1.090198689	1.357768308
26.015	0.657052765	1.068995649	1.480938533
26.115	-0.419847677	0.210330684	0.840509045
26.215	0.785291944	1.056602105	1.327912266
26.315	0.928488999	0.977511683	1.026534367
26.415	1.007478164	1.204734947	1.40199173
26.515	1.212601212	1.460371801	1.70814239
26.615	0.963036465	1.042470352	1.121904239
26.715	0.263181688	0.298968963	0.334756238
26.815	0.48321896	0.523025538	0.562832115
26.915	1.008756134	1.062880792	1.11700545
27.015	0.177200628	0.989497579	1.801794531
27.115	1.040717224	1.041966165	1.043215106
27.215	0.578045828	1.127284157	1.676522487
27.315	0.695075378	0.737353711	0.779632045
27.415	0.559431838	0.873056697	1.186681555
27.515	0.853334442	0.874578848	0.895823254
27.615	0.548701913	0.574358975	0.600016037
27.715	0.529753876	0.720778236	0.911802597
27.815	0.549245325	0.570287867	0.591330409
27.915	0.808046447	1.087822072	1.367597698
28.015	0.949765803	1.218217606	1.486669408
28.115	1.145382615	1.402813837	1.660245059
28.215	0.966841975	1.207034752	1.44722753
28.315	0.710757004	1.127419351	1.544081698
28.415	0.578576557	1.070923817	1.563271076
28.515	0.153066056	0.681745381	1.210424707
28.615	-0.013116077	0.095847885	0.204811846
28.715	0.488037506	0.945949801	1.403862096
28.815	1.147135062	1.623473539	2.099812016
28.915	1.619789248	1.88481318	2.149837111
29.015	0.991084404	1.051646315	1.112208226
29.115	0.700490534	1.046968325	1.393446116
29.215	0.474361749	1.337053786	2.199745822
29.315	0.502963381	1.284411489	2.065859597
29.415	0.586707727	0.80727057	1.027833412
29.515	0.374312717	1.012820422	1.651328128
29.615	0.454194753	0.99459674	1.534998728
29.715	0.687835495	1.553543961	2.419252427
29.815	1.108857853	1.294631093	1.480404333
29.915	1.257155159	1.603615273	1.950075387
30.015	0.535158059	1.204227954	1.873297848
30.115	1.046290776	1.560132111	2.073973446
30.215	1.287080944	1.805625048	2.324169152
30.315	1.075592869	1.682023281	2.288453692
30.415	1.250610308	1.448435016	1.646259725
30.515	1.056777823	1.492258603	1.927739384
30.615	0.914115848	1.445231905	1.976347962
30.715	1.045501147	1.125158736	1.204816325
30.815	0.75784149	0.973818182	1.189794874
30.915	0.776534684	0.917361622	1.05818856
31.015	0.952649057	1.047572325	1.142495593
31.115	0.255109618	0.287490987	0.319872355
31.215	0.087353223	0.103632984	0.119912746
31.315	0.904743047	0.962913185	1.021083322
31.415	1.44632951	1.638692198	1.831054886
31.515	0.639790542	1.332242415	2.024694288
31.615	0.785460163	1.396012953	2.006565743
31.715	1.008661581	1.587938907	2.167216234
31.815	1.11496881	1.516692715	1.91841662
31.915	0.168916089	0.657191138	1.145466188
32.015	0.821566911	1.425842346	2.03011778
32.115	0.918294545	1.595577164	2.272859783
32.215	0.645037403	1.007761496	1.370485589
32.315	1.162146833	1.468338494	1.774530155
32.415	1.146165121	1.230271449	1.314377777
32.515	0.289254395	0.492438354	0.695622313
32.615	0.047826842	0.306370395	0.564913948
32.715	0.488525349	0.660358273	0.832191198
32.815	0.260412005	0.725175594	1.189939182
32.915	-0.260562801	0.311863358	0.884289518
33.015	-1.376535521	-0.637932421	0.100670678
33.115	-0.854860995	-0.269846703	0.315167589
33.215	-0.04299292	0.360124942	0.763242804
33.315	-0.31415714	0.329749065	0.97365527
33.415	-0.167538478	0.706351208	1.580240894
33.515	0.027697608	0.325542039	0.623386471
33.615	-0.251373651	0.502423908	1.256221466
33.715	-0.250246044	0.210221476	0.670688996
33.815	0.405401201	0.430025027	0.454648852
33.915	0.40461088	0.716388593	1.028166306
34.015	1.085346434	1.165647447	1.245948461
34.115	0.830379867	1.156275794	1.482171722
34.215	-0.309658965	0.743318012	1.79629499
34.315	-0.43944005	0.332743386	1.104926821
34.415	-0.105023075	0.121810785	0.348644646
34.515	-0.339324253	0.033811085	0.406946423
34.615	-0.413912061	0.265263652	0.944439364
34.715	-0.504515288	0.217368397	0.939252082
34.815	-0.223884971	0.309617136	0.843119242
34.915	-0.150296156	0.199943026	0.550182208
35.015	-0.042281944	0.133778992	0.309839928
35.115	0.622716487	0.71617459	0.809632692
35.215	0.605652063	0.813828414	1.022004766
35.315	0.361532411	0.467974621	0.57441683
35.415	0.786740508	1.069578112	1.352415716
35.515	1.371689215	1.48856344	1.605437666
35.615	1.275197003	1.561756695	1.848316386
35.715	1.236813856	1.666209916	2.095605975
35.815	0.144925256	1.252619562	2.360313869
35.915	0.091910747	0.560923099	1.029935451
36.015	0.097605074	0.60949198	1.121378886
36.115	0.259277802	0.427472936	0.59566807
36.215	0.201113278	0.346901494	0.492689711
36.315	-0.148049915	0.166784216	0.481618347
36.415	0.908984565	1.031482468	1.15398037
36.515	0.04262378	0.24440679	0.4461898
36.615	0.663652219	0.876580918	1.089509617
36.715	1.432893986	1.450234541	1.467575097
36.815	1.484178287	1.698813502	1.913448716
36.915	1.42364875	1.653875867	1.884102985
37.015	0.815021319	1.060042426	1.305063534
37.115	1.130604185	1.187595338	1.24458649
37.215	1.306153043	1.679820316	2.053487589
37.315	1.381831845	1.70886587	2.035899894
37.415	1.247724513	1.528589292	1.80945407
37.515	1.187400139	1.401290508	1.615180877
37.615	1.259832067	1.331813839	1.403795611
37.715	0.878652655	1.112255666	1.345858677
37.815	0.960059318	1.177598594	1.395137869
37.915	0.943047305	0.945883523	0.948719741
38.015	0.708056778	0.711870914	0.71568505
38.115	0.165133825	0.21403906	0.262944295
38.215	-1.546824151	-0.770840525	0.005143101
38.315	-2.03470524	-1.383295216	-0.731885192
38.415	-2.008114204	-1.402430546	-0.796746888
38.515	-1.803119971	-1.3148489	-0.82657783
38.615	-0.060056704	-0.035299069	-0.010541434
38.715	-0.055820462	0.218215397	0.492251256
38.815	-0.716633516	-0.341667811	0.033297893
38.915	-0.720415771	-0.222543368	0.275329036
39.015	-0.540635278	0.178049587	0.896734452
39.115	-0.767124642	0.326585079	1.4202948
39.215	-0.780492191	0.347054277	1.474600745
39.315	-0.44818173	-0.00132394	0.44553385
39.415	-0.257273019	0.30336984	0.864012699
39.515	-0.153348803	0.780714948	1.7147787
39.615	-0.34426518	0.641036959	1.626339097
39.715	-0.382316221	0.357363249	1.097042718
39.815	-0.748023772	0.18711553	1.122254832
39.915	-0.195138385	0.420160885	1.035460155
40.015	-0.418934586	0.339362785	1.097660155
40.115	-0.479266769	0.019800597	0.518867963
40.215	0.13434237	0.490043868	0.845745367
40.315	0.990579763	1.374355457	1.758131151
40.415	-0.082640783	0.27963203	0.641904842
40.515	-0.381808997	-0.22607952	-0.070350042
40.615	-0.068753679	0.122267552	0.313288783
40.715	0.712445825	0.771947669	0.831449513
40.815	1.501076683	1.526988147	1.552899612
40.915	0.74508665	1.158204592	1.571322534
41.015	1.422350284	1.446731177	1.471112071
41.115	0.515867316	0.877190018	1.238512719
41.215	1.035999134	1.286979344	1.537959555
41.315	0.407163395	0.943097275	1.479031155
41.415	-0.017504216	0.587520119	1.192544454
41.515	1.319669515	1.490984435	1.662299355
41.615	1.304139809	1.345728884	1.387317959
41.715	0.129932009	0.348922596	0.567913182
41.815	-0.671072452	-0.323531852	0.024008749
41.915	-0.61166177	-0.300749832	0.010162107
42.015	0.055938512	0.320548017	0.585157522
42.115	0.883939203	0.942375688	1.000812174
42.215	1.150495293	1.278881282	1.407267271
42.315	0.395415975	0.58605528	0.776694584
42.415	0.221131961	0.553939461	0.88674696
42.515	1.045859727	1.054051021	1.062242314
42.615	1.487193162	1.915467621	2.343742081
42.715	1.318557266	1.491710088	1.664862909
42.815	1.558499743	1.622885854	1.687271964
42.915	0.250444426	0.537881488	0.825318551
43.015	0.360191167	0.805129656	1.250068145
43.115	-0.333113119	0.15584365	0.64480042
43.215	-0.128064853	0.453509397	1.035083647
43.315	-0.190429666	0.406002431	1.002434528
43.415	-0.225047299	0.631381174	1.487809647
43.515	-0.132888872	0.555144684	1.243178241
43.615	-0.123551521	0.40083978	0.925231081
43.715	-0.210618592	0.451777552	1.114173696
43.815	-0.2673098	0.336354903	0.940019607
43.915	-0.324202941	0.438065238	1.200333418
44.015	-0.097177337	0.684828477	1.466834292
44.115	-0.17693196	0.303781841	0.784495642
44.215	-0.040548248	0.620873494	1.282295236
44.315	-0.052906083	0.851934047	1.756774177
44.415	-0.042116315	0.482876733	1.007869782
44.515	0.538196685	0.574016289	0.609835892
44.615	0.219827381	0.572611043	0.925394704
44.715	-0.25836795	-0.020688784	0.216990382
44.815	-0.294615245	0.001042617	0.296700479
44.915	0.26694319	0.307552867	0.348162543
45.015	-0.356204295	0.048266755	0.452737805
45.115	0.091847251	0.173260456	0.254673662
45.215	0.421737444	0.66043493	0.899132415
45.315	-0.123031486	0.047552347	0.218136179
45.415	-0.853880809	-0.312727109	0.228426592
45.515	-0.181087521	0.071594096	0.324275712
45.615	-0.062660939	0.189640295	0.441941529
45.715	0.394698924	0.418709191	0.442719458
45.815	-0.058774364	0.19269414	0.444162644
45.915	-0.459655626	-0.183313166	0.093029295
46.015	-0.246374649	0.051680336	0.34973532
46.115	-0.135611753	0.030660026	0.196931804
46.215	0.136065785	0.365361495	0.594657204
46.315	0.220441638	0.606646229	0.99285082
46.415	0.011017925	0.514988991	1.018960058
46.515	0.046519256	0.345894414	0.645269571
46.615	0.025259921	0.338064763	0.650869605
46.715	-0.594405223	-0.009922327	0.574560568
46.815	-0.716731393	-0.212170059	0.292391276
46.915	-0.804128026	-0.21973292	0.364662185
47.015	-0.345329726	0.003577171	0.352484069
47.115	0.066791232	0.497751412	0.928711592
47.215	0.328784617	0.686352132	1.043919647
47.315	0.10041482	0.694119018	1.287823216
47.415	-0.450065128	0.211839852	0.873744832
47.515	-0.555438912	0.052256646	0.659952203
47.615	-0.398967131	0.092488351	0.583943834
47.715	-0.372071578	-0.048423147	0.275225283
47.815	-0.119686379	-0.021148059	0.077390261
47.915	-1.25854916	-0.741592173	-0.224635187
48.015	-0.834529866	-0.47904285	-0.123555835
48.115	-0.131061566	0.387097423	0.905256412
48.215	-0.21649784	0.245616446	0.707730732
48.315	-0.627832768	-0.400192659	-0.172552551
48.415	-0.633958819	-0.548987667	-0.464016515
48.515	-1.188575992	-0.982857172	-0.777138352
48.615	-0.399841465	-0.278026664	-0.156211863
48.715	-0.294030203	-0.118656939	0.056716324
48.815	-0.471627741	-0.289748155	-0.107868569
48.915	-0.025386317	-0.02238951	-0.019392703
49.015	-0.200978773	-0.151461387	-0.101944001
49.115	-0.184784796	-0.182359086	-0.179933376
49.215	0.128028408	0.414380752	0.700733096
49.315	-0.225770885	0.006464381	0.238699647
49.415	-0.163532194	0.102467128	0.368466451
49.515	-0.332632976	-0.218922038	-0.1052111
49.615	0.010390004	0.504842296	0.999294587
49.715	-0.076162423	0.465804953	1.007772328
49.815	0.106817794	0.736886468	1.366955143
49.915	0.012111736	0.484511479	0.956911222
50.015	-0.410818762	-0.303433561	-0.19604836
50.115	0.010741765	0.230238854	0.449735944
50.215	0.148289043	0.808304485	1.468319927
50.315	0.257075889	0.299604887	0.342133884
50.415	0.240865054	0.263610361	0.286355668
50.515	0.471528907	0.715431829	0.95933475
50.615	0.336380281	0.623075149	0.909770017
50.715	0.148404638	0.532684011	0.916963384
50.815	0.284362279	0.539347562	0.794332844
50.915	-0.862721708	-0.189783192	0.483155324
51.015	-0.629734536	-0.03963396	0.550466615
51.115	-0.446629618	0.010905228	0.468440073
51.215	-1.863958407	-1.317142813	-0.770327218
51.315	-1.516337716	-0.993007297	-0.469676877
51.415	-0.731973489	-0.513229267	-0.294485044
51.515	-0.485842672	-0.174224844	0.137392983
51.615	0.485338263	0.664318021	0.843297779
51.715	0.751392976	0.899718332	1.048043687
51.815	0.712190147	0.791165417	0.870140687
51.915	0.860408292	1.016443628	1.172478963
52.015	0.605718226	0.805014254	1.004310282
52.115	0.25141428	0.310528329	0.369642379
52.215	-0.081359513	0.299419459	0.680198431
52.315	0.021211474	0.769969731	1.518727989
52.415	-0.20212353	0.306568211	0.815259951
52.515	-0.168883075	0.336078936	0.841040946
52.615	-0.047539935	0.32669981	0.700939554
52.715	-0.017860546	0.398556608	0.814973763
52.815	-0.03593087	0.568895981	1.173722832
52.915	-0.126530003	0.15793252	0.442395043
53.015	-1.185711081	-0.585128685	0.015453711
53.115	-0.986795165	-0.528089346	-0.069383526
53.215	-0.946571008	-0.535710415	-0.124849822
53.315	-0.921735179	-0.483833792	-0.045932405
53.415	-0.077744333	0.200453455	0.478651242
53.515	0.256696351	0.285561474	0.314426597
53.615	-0.482720381	-0.244030988	-0.005341596
53.715	-0.205427243	0.039146972	0.283721187
53.815	-0.239206903	0.183871445	0.606949793
53.915	0.343532571	0.518425826	0.693319081
54.015	0.277963417	0.3767369	0.475510383
54.115	0.558595555	0.671964676	0.785333797
54.215	0.308782185	0.540732425	0.772682665
54.315	0.102244964	0.453760914	0.805276865
54.415	0.287220642	0.498104579	0.708988517
54.515	0.422946026	0.663253726	0.903561426
54.615	-0.193190185	0.400637224	0.994464634
54.715	-0.115817114	0.326152829	0.768122772
54.815	-0.234847302	0.314563167	0.863973635
54.915	-0.527006305	0.063900022	0.654806349
55.015	-0.167956224	0.326452274	0.820860772
55.115	-0.34933146	0.203256672	0.755844805
55.215	0.612900122	0.724587987	0.836275853
55.315	0.209495793	0.490631768	0.771767743
55.415	0.398399977	0.458737183	0.519074388
55.515	0.509007614	0.636994734	0.764981854
55.615	0.731199328	0.87051121	1.009823092
55.715	0.953221103	0.972208411	0.991195719
55.815	0.603401137	0.66730598	0.731210823
55.915	0.254672576	0.410904532	0.567136488
56.015	-0.052560949	0.471680092	0.995921132
56.115	0.251515183	0.605156603	0.958798023
56.215	0.856789276	1.188993842	1.521198409
56.315	0.972588952	1.237887398	1.503185844
56.415	1.027578453	1.252782334	1.477986216
56.515	0.910850737	1.33742196	1.763993182
56.615	0.932090647	1.240675206	1.549259765
56.715	1.174638115	1.472291441	1.769944767
56.815	0.964060367	1.062189889	1.160319411
56.915	0.958103231	1.07432713	1.190551028
57.015	0.848285846	1.149479747	1.450673647
57.115	0.855623885	1.255233921	1.654843956
57.215	0.800969081	0.816924027	0.832878972
57.315	0.289009218	0.483038143	0.677067069
57.415	0.187541774	0.239991726	0.292441678
57.515	0.021512065	0.067012238	0.11251241
57.615	0.507902482	0.729740764	0.951579045
57.715	0.131971216	0.357031867	0.582092518
57.815	0.194624776	0.394972416	0.595320056
57.915	-0.046697227	0.188294411	0.423286048
58.015	0.081109475	0.178633813	0.276158151
58.115	-0.221490146	-0.059432781	0.102624585
58.215	-0.525961062	-0.274277223	-0.022593383
58.315	-0.648913154	-0.232514287	0.183884581
58.415	-0.323962824	-0.017829617	0.288303589
58.515	-0.516582672	-0.078843125	0.358896421
58.615	0.104572173	0.253626427	0.402680682
58.715	0.037733323	0.172949963	0.308166603
58.815	0.089621701	0.260977591	0.432333481
58.915	0.140895077	0.338693051	0.536491025
59.015	0.76413427	0.821823099	0.879511929
59.115	0.627535103	0.639350164	0.651165224
59.215	0.195422037	0.348892268	0.5023625
59.315	0.372791935	0.44635848	0.519925025
59.415	0.315697411	0.502055313	0.688413216
59.515	0.789543616	0.894540406	0.999537195
