Age (kyr BP)	SGS (<16μm)
69.894	54.883
69.994	64.424
70.093	73.250
70.193	71.605
70.292	77.159
70.392	78.908
70.492	75.549
70.592	77.995
70.692	79.947
70.793	76.635
70.939	74.464
71.035	71.729
71.131	72.336
71.226	77.196
71.370	71.427
71.465	71.985
71.561	71.815
71.656	72.111
71.768	79.497
71.879	74.706
71.991	74.755
72.102	71.768
72.213	73.514
72.324	77.371
72.435	78.467
72.546	81.210
72.656	84.296
72.767	84.305
72.876	85.779
72.985	86.098
73.095	82.286
73.204	85.505
73.315	85.925
73.482	88.147
73.593	87.179
73.704	84.235
73.816	82.454
73.928	82.182
74.040	81.335
74.152	83.572
74.264	83.629
74.377	86.309
74.489	86.306
74.601	87.055
74.711	86.671
74.822	86.351
74.932	85.829
75.042	85.876
75.151	85.934
75.261	86.650
75.370	85.383
75.479	85.248
75.588	83.945
75.696	80.183
75.804	81.559
75.913	79.717
76.023	75.914
76.133	77.544
76.244	82.701
76.355	86.305
76.465	84.039
76.576	79.856
76.686	84.681
76.797	88.268
76.907	81.136
77.018	76.731
77.129	73.863
77.240	79.531
77.351	80.550
77.460	80.631
77.569	79.869
77.679	78.078
77.788	75.498
77.898	76.380
78.008	75.697
78.119	70.784
78.229	71.205
78.338	72.317
78.447	71.029
78.556	68.512
78.665	73.537
78.774	77.260
78.885	76.872
78.995	74.499
79.105	71.424
79.214	66.313
79.321	56.886
79.428	55.771
79.481	59.434
79.589	79.322
79.698	69.464
79.807	58.407
80.026	54.876
80.135	51.606
80.242	52.526
80.350	57.493
80.458	54.398
80.567	52.873
80.679	55.249
80.790	54.083
80.902	47.623
81.013	59.203
81.124	71.007
81.244	72.517
81.364	56.972
81.485	62.518
81.608	50.904
81.731	46.428
81.854	46.874
81.982	48.943
82.114	50.302
82.246	50.170
82.509	48.846
82.640	49.057
82.770	44.979
82.900	40.534
83.032	42.360
83.165	53.424
83.298	49.202
83.565	78.663
83.699	73.464
