Age (kyr BP)	frequency-dependence susceptibility/Hematite
43.630	0.951
43.702	1.084
43.774	0.875
43.846	1.256
43.918	1.136
43.992	1.009
44.066	0.848
44.140	1.107
44.213	0.917
44.287	0.983
44.361	0.835
44.435	0.951
44.509	0.580
44.582	0.702
44.653	0.811
44.722	1.116
44.792	0.709
44.862	0.710
44.932	0.731
45.002	0.606
45.072	0.732
45.142	0.733
45.211	0.641
45.278	0.703
45.343	0.792
45.407	0.740
45.472	0.799
45.537	0.641
45.602	0.650
45.666	0.577
45.731	0.653
45.796	0.935
45.861	0.921
45.927	1.342
45.993	1.179
46.058	0.872
46.124	1.006
46.190	0.777
46.256	0.845
46.322	0.741
46.387	0.769
46.453	1.037
46.517	0.853
46.581	0.883
46.646	0.865
46.710	1.408
46.774	1.341
46.839	1.658
46.903	1.749
46.967	1.209
47.036	1.138
47.106	0.871
47.177	0.677
47.247	0.705
47.318	0.830
47.388	1.329
47.459	1.138
47.529	1.418
47.600	1.204
47.671	1.223
47.741	1.160
47.811	0.971
47.882	1.063
47.952	1.051
48.023	0.969
48.093	0.975
48.164	1.005
48.234	1.068
48.304	1.021
48.374	0.990
48.444	1.468
48.513	1.626
48.583	1.211
48.652	1.207
48.722	0.813
48.792	0.939
48.861	1.023
48.927	0.877
48.993	0.989
49.060	0.910
49.126	1.044
49.192	0.838
49.258	0.750
49.324	1.107
49.391	1.042
49.457	0.952
49.523	1.176
49.590	0.922
49.656	0.820
49.723	0.960
49.789	0.858
49.856	0.761
49.922	0.896
49.989	0.971
50.056	1.134
50.124	0.845
50.192	0.820
50.259	0.746
50.327	0.672
50.395	0.735
50.462	0.668
50.530	0.607
50.598	0.679
50.664	0.714
50.731	0.820
50.797	0.738
50.863	0.658
50.930	0.603
50.996	0.600
51.063	0.545
51.129	0.643
51.196	1.670
51.263	1.441
51.331	1.224
51.398	1.262
51.459	0.735
51.521	0.809
51.582	0.729
51.644	0.513
51.705	0.498
51.767	0.517
51.828	0.516
51.890	0.472
51.952	0.445
52.014	0.557
52.075	0.720
52.137	0.743
52.199	0.986
52.261	0.837
52.322	0.881
52.384	0.982
52.445	1.095
52.506	1.022
52.568	0.961
52.629	0.912
52.690	1.001
52.752	0.756
52.813	0.912
52.874	1.000
52.936	0.447
52.998	0.838
53.061	0.993
53.123	0.931
53.185	1.086
53.247	0.866
53.310	0.934
53.372	0.789
53.434	0.541
53.497	0.626
53.559	0.990
53.621	0.884
53.683	0.726
53.745	0.707
53.807	0.569
53.869	0.493
53.931	0.535
53.993	0.646
54.055	0.569
54.116	0.487
54.177	0.513
54.238	0.481
54.299	0.475
54.360	0.496
54.421	0.520
54.482	0.456
54.543	0.437
54.604	0.417
54.665	0.412
54.739	0.535
54.814	0.458
54.889	0.569
54.964	0.483
55.039	0.471
55.113	0.500
55.188	0.490
55.263	0.433
55.338	0.520
55.417	0.660
55.501	0.519
55.585	0.382
55.669	0.463
55.753	0.379
55.837	0.555
55.920	0.744
56.004	0.944
56.093	0.807
56.180	0.520
56.268	0.374
56.356	0.466
56.444	0.376
56.532	0.460
56.620	0.435
56.708	0.357
56.796	0.420
56.884	0.447
56.972	0.392
57.063	0.547
57.154	0.400
57.246	0.524
57.337	0.774
57.429	0.701
57.520	0.824
57.612	0.596
57.703	0.819
57.794	0.710
57.885	0.959
57.976	0.849
58.066	0.821
58.157	0.825
58.247	0.951
58.338	0.714
58.428	0.714
58.519	0.675
58.609	0.650
58.701	0.717
58.792	0.626
58.883	0.679
58.975	0.425
59.066	0.491
59.157	0.583
59.249	0.620
59.340	0.590
59.432	0.511
59.522	0.406
59.613	0.508
59.704	0.356
59.795	0.360
59.886	0.249
59.977	0.499
60.067	0.359
60.158	0.353
60.249	0.475
60.339	0.449
